ダウンロードした時刻：2023/05/31 13:21:40

,山形,山形,山形,山形,山形,山形,山形,山形,山形
年月日,最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2010/9/2,34.8,8,1,28.5,8,1,70,8,1
2010/9/3,33.5,8,1,28.2,8,1,64,8,1
2010/9/4,32.9,8,1,27.1,8,1,64,8,1
2010/9/5,34.4,8,1,26.5,8,1,64,8,1
2010/9/6,35.4,8,1,27.9,8,1,68,8,1
2010/9/7,29.1,8,1,24.6,8,1,80,8,1
2010/9/8,27.5,8,1,22.7,8,1,77,8,1
2010/9/9,28.5,8,1,22.4,8,1,71,8,1
2010/9/10,30.3,8,1,23.0,8,1,70,8,1
2010/9/11,31.1,8,1,23.8,8,1,78,8,1
2010/9/12,23.9,8,1,21.4,8,1,88,8,1
2010/9/13,25.3,8,1,22.7,8,1,82,8,1
2010/9/14,25.5,8,1,21.3,8,1,82,8,1
2010/9/15,25.3,8,1,20.1,8,1,64,8,1
2010/9/16,18.8,8,1,17.5,8,1,88,8,1
2010/9/17,27.0,8,1,20.8,8,1,80,8,1
2010/9/18,27.2,8,1,21.7,8,1,73,8,1
2010/9/19,23.6,8,1,20.3,8,1,80,8,1
2010/9/20,26.2,8,1,21.7,8,1,78,8,1
2010/9/21,28.7,8,1,24.6,8,1,66,8,1
2010/9/22,25.9,8,1,19.8,8,1,76,8,1
2010/9/23,14.8,8,1,13.7,8,1,91,8,1
